samples=12741 existing=20 pending=12721
semantic_judged_new=50/12721 total_done=70/12741
semantic_judged_new=100/12721 total_done=120/12741
semantic_judged_new=150/12721 total_done=170/12741
semantic_judged_new=200/12721 total_done=220/12741
semantic_judged_new=250/12721 total_done=270/12741
semantic_judged_new=300/12721 total_done=320/12741
semantic_judged_new=350/12721 total_done=370/12741
semantic_judged_new=400/12721 total_done=420/12741
semantic_judged_new=450/12721 total_done=470/12741
semantic_judged_new=500/12721 total_done=520/12741
semantic_judged_new=550/12721 total_done=570/12741
semantic_judged_new=600/12721 total_done=620/12741
semantic_judged_new=650/12721 total_done=670/12741
semantic_judged_new=700/12721 total_done=720/12741
semantic_judged_new=750/12721 total_done=770/12741
semantic_judged_new=800/12721 total_done=820/12741
semantic_judged_new=850/12721 total_done=870/12741
semantic_judged_new=900/12721 total_done=920/12741
semantic_judged_new=950/12721 total_done=970/12741
semantic_judged_new=1000/12721 total_done=1020/12741
semantic_judged_new=1050/12721 total_done=1070/12741
semantic_judged_new=1100/12721 total_done=1120/12741
semantic_judged_new=1150/12721 total_done=1170/12741
semantic_judged_new=1200/12721 total_done=1220/12741
semantic_judged_new=1250/12721 total_done=1270/12741
semantic_judged_new=1300/12721 total_done=1320/12741
semantic_judged_new=1350/12721 total_done=1370/12741
semantic_judged_new=1400/12721 total_done=1420/12741
semantic_judged_new=1450/12721 total_done=1470/12741
semantic_judged_new=1500/12721 total_done=1520/12741
semantic_judged_new=1550/12721 total_done=1570/12741
semantic_judged_new=1600/12721 total_done=1620/12741
semantic_judged_new=1650/12721 total_done=1670/12741
semantic_judged_new=1700/12721 total_done=1720/12741
semantic_judged_new=1750/12721 total_done=1770/12741
semantic_judged_new=1800/12721 total_done=1820/12741
semantic_judged_new=1850/12721 total_done=1870/12741
semantic_judged_new=1900/12721 total_done=1920/12741
semantic_judged_new=1950/12721 total_done=1970/12741
semantic_judged_new=2000/12721 total_done=2020/12741
semantic_judged_new=2050/12721 total_done=2070/12741
semantic_judged_new=2100/12721 total_done=2120/12741
semantic_judged_new=2150/12721 total_done=2170/12741
semantic_judged_new=2200/12721 total_done=2220/12741
semantic_judged_new=2250/12721 total_done=2270/12741
semantic_judged_new=2300/12721 total_done=2320/12741
semantic_judged_new=2350/12721 total_done=2370/12741
semantic_judged_new=2400/12721 total_done=2420/12741
semantic_judged_new=2450/12721 total_done=2470/12741
semantic_judged_new=2500/12721 total_done=2520/12741
semantic_judged_new=2550/12721 total_done=2570/12741
semantic_judged_new=2600/12721 total_done=2620/12741
semantic_judged_new=2650/12721 total_done=2670/12741
semantic_judged_new=2700/12721 total_done=2720/12741
semantic_judged_new=2750/12721 total_done=2770/12741
semantic_judged_new=2800/12721 total_done=2820/12741
semantic_judged_new=2850/12721 total_done=2870/12741
semantic_judged_new=2900/12721 total_done=2920/12741
semantic_judged_new=2950/12721 total_done=2970/12741
semantic_judged_new=3000/12721 total_done=3020/12741
semantic_judged_new=3050/12721 total_done=3070/12741
semantic_judged_new=3100/12721 total_done=3120/12741
semantic_judged_new=3150/12721 total_done=3170/12741
semantic_judged_new=3200/12721 total_done=3220/12741
semantic_judged_new=3250/12721 total_done=3270/12741
semantic_judged_new=3300/12721 total_done=3320/12741
semantic_judged_new=3350/12721 total_done=3370/12741
semantic_judged_new=3400/12721 total_done=3420/12741
semantic_judged_new=3450/12721 total_done=3470/12741
semantic_judged_new=3500/12721 total_done=3520/12741
semantic_judged_new=3550/12721 total_done=3570/12741
semantic_judged_new=3600/12721 total_done=3620/12741
semantic_judged_new=3650/12721 total_done=3670/12741
semantic_judged_new=3700/12721 total_done=3720/12741
semantic_judged_new=3750/12721 total_done=3770/12741
semantic_judged_new=3800/12721 total_done=3820/12741
semantic_judged_new=3850/12721 total_done=3870/12741
semantic_judged_new=3900/12721 total_done=3920/12741
semantic_judged_new=3950/12721 total_done=3970/12741
semantic_judged_new=4000/12721 total_done=4020/12741
semantic_judged_new=4050/12721 total_done=4070/12741
semantic_judged_new=4100/12721 total_done=4120/12741
semantic_judged_new=4150/12721 total_done=4170/12741
semantic_judged_new=4200/12721 total_done=4220/12741
semantic_judged_new=4250/12721 total_done=4270/12741
semantic_judged_new=4300/12721 total_done=4320/12741
semantic_judged_new=4350/12721 total_done=4370/12741
