question_type,condition,n,correct,flip_rate
Basic Fact Recall,A1,634,12,0.01892744479495268
Basic Fact Recall,A2,634,55,0.08675078864353312
Basic Fact Recall,A3,634,54,0.08517350157728706
Basic Fact Recall,A4,634,0,0.0
Dynamic Update,A1,184,3,0.016304347826086956
Dynamic Update,A2,184,18,0.09782608695652174
Dynamic Update,A3,184,15,0.08152173913043478
Dynamic Update,A4,184,5,0.02717391304347826
Generalization & Application,A1,433,38,0.08775981524249422
Generalization & Application,A2,433,126,0.2909930715935335
Generalization & Application,A3,433,125,0.28868360277136257
Generalization & Application,A4,433,9,0.020785219399538105
Memory Conflict,A1,161,9,0.055900621118012424
Memory Conflict,A2,161,23,0.14285714285714285
Memory Conflict,A3,161,55,0.3416149068322981
Memory Conflict,A4,161,43,0.2670807453416149
Multi-hop Inference,A1,161,10,0.062111801242236024
Multi-hop Inference,A2,161,24,0.14906832298136646
Multi-hop Inference,A3,161,23,0.14285714285714285
Multi-hop Inference,A4,161,3,0.018633540372670808
