retrieval_stratum,condition,n,correct,flip_rate
no_gold_retrieved,A1,781,4,0.005121638924455826
no_gold_retrieved,A2,781,1,0.0012804097311139564
no_gold_retrieved,A3,781,1,0.0012804097311139564
no_gold_retrieved,A4,781,2,0.002560819462227913
partial_supported,A1,194,3,0.015463917525773196
partial_supported,A2,194,3,0.015463917525773196
partial_supported,A3,194,3,0.015463917525773196
partial_supported,A4,194,3,0.015463917525773196
strict_supported,A1,598,65,0.10869565217391304
strict_supported,A2,598,242,0.40468227424749165
strict_supported,A3,598,268,0.44816053511705684
strict_supported,A4,598,55,0.09197324414715718
