pool,condition,from_label,to_label,count,rate_within_from
full_pool,A1,hallucination,correct,70,0.05384615384615385
full_pool,A1,hallucination,hallucination,1221,0.9392307692307692
full_pool,A1,hallucination,omission,9,0.006923076923076923
full_pool,A1,omission,correct,2,0.007326007326007326
full_pool,A1,omission,hallucination,4,0.014652014652014652
full_pool,A1,omission,omission,267,0.978021978021978
full_pool,A1,correct,correct,0,0.0
full_pool,A1,correct,hallucination,0,0.0
full_pool,A1,correct,omission,0,0.0
full_pool,A2,hallucination,correct,235,0.18076923076923077
full_pool,A2,hallucination,hallucination,296,0.2276923076923077
full_pool,A2,hallucination,omission,769,0.5915384615384616
full_pool,A2,omission,correct,11,0.040293040293040296
full_pool,A2,omission,hallucination,8,0.029304029304029304
full_pool,A2,omission,omission,254,0.9304029304029304
full_pool,A2,correct,correct,0,0.0
full_pool,A2,correct,hallucination,0,0.0
full_pool,A2,correct,omission,0,0.0
full_pool,A3,hallucination,correct,261,0.20076923076923076
full_pool,A3,hallucination,hallucination,271,0.20846153846153845
full_pool,A3,hallucination,omission,768,0.5907692307692308
full_pool,A3,omission,correct,11,0.040293040293040296
full_pool,A3,omission,hallucination,8,0.029304029304029304
full_pool,A3,omission,omission,254,0.9304029304029304
full_pool,A3,correct,correct,0,0.0
full_pool,A3,correct,hallucination,0,0.0
full_pool,A3,correct,omission,0,0.0
full_pool,A4,hallucination,correct,56,0.043076923076923075
full_pool,A4,hallucination,hallucination,1241,0.9546153846153846
full_pool,A4,hallucination,omission,3,0.002307692307692308
full_pool,A4,omission,correct,4,0.014652014652014652
full_pool,A4,omission,hallucination,5,0.018315018315018316
full_pool,A4,omission,omission,264,0.967032967032967
full_pool,A4,correct,correct,0,0.0
full_pool,A4,correct,hallucination,0,0.0
full_pool,A4,correct,omission,0,0.0
