pool,condition,from_label,to_label,count,rate_within_from
retrieved_strict,A1,hallucination,correct,63,0.11351351351351352
retrieved_strict,A1,hallucination,hallucination,489,0.8810810810810811
retrieved_strict,A1,hallucination,omission,3,0.005405405405405406
retrieved_strict,A1,omission,correct,2,0.046511627906976744
retrieved_strict,A1,omission,hallucination,4,0.09302325581395349
retrieved_strict,A1,omission,omission,37,0.8604651162790697
retrieved_strict,A1,correct,correct,0,0.0
retrieved_strict,A1,correct,hallucination,0,0.0
retrieved_strict,A1,correct,omission,0,0.0
retrieved_strict,A2,hallucination,correct,232,0.418018018018018
retrieved_strict,A2,hallucination,hallucination,287,0.5171171171171172
retrieved_strict,A2,hallucination,omission,36,0.06486486486486487
retrieved_strict,A2,omission,correct,10,0.23255813953488372
retrieved_strict,A2,omission,hallucination,6,0.13953488372093023
retrieved_strict,A2,omission,omission,27,0.627906976744186
retrieved_strict,A2,correct,correct,0,0.0
retrieved_strict,A2,correct,hallucination,0,0.0
retrieved_strict,A2,correct,omission,0,0.0
retrieved_strict,A3,hallucination,correct,258,0.4648648648648649
retrieved_strict,A3,hallucination,hallucination,262,0.4720720720720721
retrieved_strict,A3,hallucination,omission,35,0.06306306306306306
retrieved_strict,A3,omission,correct,10,0.23255813953488372
retrieved_strict,A3,omission,hallucination,6,0.13953488372093023
retrieved_strict,A3,omission,omission,27,0.627906976744186
retrieved_strict,A3,correct,correct,0,0.0
retrieved_strict,A3,correct,hallucination,0,0.0
retrieved_strict,A3,correct,omission,0,0.0
retrieved_strict,A4,hallucination,correct,51,0.0918918918918919
retrieved_strict,A4,hallucination,hallucination,504,0.9081081081081082
retrieved_strict,A4,hallucination,omission,0,0.0
retrieved_strict,A4,omission,correct,4,0.09302325581395349
retrieved_strict,A4,omission,hallucination,3,0.06976744186046512
retrieved_strict,A4,omission,omission,36,0.8372093023255814
retrieved_strict,A4,correct,correct,0,0.0
retrieved_strict,A4,correct,hallucination,0,0.0
retrieved_strict,A4,correct,omission,0,0.0
