pool,condition,n,correct,flip_rate,wilson_low,wilson_high
strict_all,A0,598,0,0.0,0.0,0.006382841800598862
strict_all,A1,598,65,0.10869565217391304,0.08620101352437111,0.1361855583195758
strict_all,A2,598,242,0.40468227424749165,0.3660721882032514,0.4445091562202742
strict_all,A3,598,268,0.44816053511705684,0.4087589739115301,0.48822386252933464
strict_all,A4,598,55,0.09197324414715718,0.07134314737012139,0.11781208139023351
strict_licensed,A0,140,0,0.0,1.734723475976807e-18,0.026706200369412993
strict_licensed,A1,140,11,0.07857142857142857,0.04443737597511909,0.13521499290767183
strict_licensed,A2,140,49,0.35,0.27595653505679385,0.43205532505403
strict_licensed,A3,140,76,0.5428571428571428,0.4602951001372034,0.6231300826882755
strict_licensed,A4,140,47,0.3357142857142857,0.26280357713393476,0.4173998887017295
strict_assert_only,A0,458,0,0.0,8.673617379884035e-19,0.008317700256930675
strict_assert_only,A1,458,54,0.11790393013100436,0.09149893498823952,0.15066524643081233
strict_assert_only,A2,458,193,0.42139737991266374,0.37701271533303565,0.4670896305588837
strict_assert_only,A3,458,192,0.4192139737991266,0.3748793493768183,0.46489250612320987
strict_assert_only,A4,458,8,0.017467248908296942,0.008876913218190148,0.03408471017386959
