pool,condition,from_label,to_label,count,rate_within_from
strict_licensed,A2,hallucination,correct,46,0.3511450381679389
strict_licensed,A2,hallucination,hallucination,80,0.6106870229007634
strict_licensed,A2,hallucination,omission,5,0.03816793893129771
strict_licensed,A2,omission,correct,3,0.3333333333333333
strict_licensed,A2,omission,hallucination,2,0.2222222222222222
strict_licensed,A2,omission,omission,4,0.4444444444444444
strict_licensed,A2,correct,correct,0,0.0
strict_licensed,A2,correct,hallucination,0,0.0
strict_licensed,A2,correct,omission,0,0.0
strict_licensed,A3,hallucination,correct,73,0.5572519083969466
strict_licensed,A3,hallucination,hallucination,53,0.40458015267175573
strict_licensed,A3,hallucination,omission,5,0.03816793893129771
strict_licensed,A3,omission,correct,3,0.3333333333333333
strict_licensed,A3,omission,hallucination,2,0.2222222222222222
strict_licensed,A3,omission,omission,4,0.4444444444444444
strict_licensed,A3,correct,correct,0,0.0
strict_licensed,A3,correct,hallucination,0,0.0
strict_licensed,A3,correct,omission,0,0.0
strict_licensed,A4,hallucination,correct,44,0.33587786259541985
strict_licensed,A4,hallucination,hallucination,87,0.6641221374045801
strict_licensed,A4,hallucination,omission,0,0.0
strict_licensed,A4,omission,correct,3,0.3333333333333333
strict_licensed,A4,omission,hallucination,3,0.3333333333333333
strict_licensed,A4,omission,omission,3,0.3333333333333333
strict_licensed,A4,correct,correct,0,0.0
strict_licensed,A4,correct,hallucination,0,0.0
strict_licensed,A4,correct,omission,0,0.0
