pool,comparison,n,b,c,p_value
full_pool,A3_vs_A1,737,283,29,1.6865704463980894e-53
full_pool,A3_vs_A2,737,47,8,8.067609591488889e-08
full_pool,A4_vs_A0,737,69,0,3.3881317890172014e-21
full_pool,A5_vs_A0,737,176,0,2.088097429759528e-53
full_pool,A5_vs_A4,737,107,0,1.232595164407831e-32
full_pool,A5_vs_A2,737,65,190,2.1862351093536006e-15
retrieved_strict,A3_vs_A1,737,283,29,1.6865704463980894e-53
retrieved_strict,A3_vs_A2,737,47,8,8.067609591488889e-08
retrieved_strict,A4_vs_A0,737,69,0,3.3881317890172014e-21
retrieved_strict,A5_vs_A0,737,176,0,2.088097429759528e-53
retrieved_strict,A5_vs_A4,737,107,0,1.232595164407831e-32
retrieved_strict,A5_vs_A2,737,65,190,2.1862351093536006e-15
visible_supported,A3_vs_A1,737,283,29,1.6865704463980894e-53
visible_supported,A3_vs_A2,737,47,8,8.067609591488889e-08
visible_supported,A4_vs_A0,737,69,0,3.3881317890172014e-21
visible_supported,A5_vs_A0,737,176,0,2.088097429759528e-53
visible_supported,A5_vs_A4,737,107,0,1.232595164407831e-32
visible_supported,A5_vs_A2,737,65,190,2.1862351093536006e-15
