pool,condition,from_label,to_label,count,rate_within_from
strict_licensed,A2,hallucination,correct,64,0.3902439024390244
strict_licensed,A2,hallucination,hallucination,94,0.573170731707317
strict_licensed,A2,hallucination,omission,6,0.036585365853658534
strict_licensed,A2,omission,correct,2,0.3333333333333333
strict_licensed,A2,omission,hallucination,2,0.3333333333333333
strict_licensed,A2,omission,omission,2,0.3333333333333333
strict_licensed,A2,correct,correct,0,0.0
strict_licensed,A2,correct,hallucination,0,0.0
strict_licensed,A2,correct,omission,0,0.0
strict_assert_only,A2,hallucination,correct,218,0.4342629482071713
strict_assert_only,A2,hallucination,hallucination,246,0.4900398406374502
strict_assert_only,A2,hallucination,omission,38,0.07569721115537849
strict_assert_only,A2,omission,correct,17,0.26153846153846155
strict_assert_only,A2,omission,hallucination,5,0.07692307692307693
strict_assert_only,A2,omission,omission,43,0.6615384615384615
strict_assert_only,A2,correct,correct,0,0.0
strict_assert_only,A2,correct,hallucination,0,0.0
strict_assert_only,A2,correct,omission,0,0.0
strict_licensed,A3,hallucination,correct,104,0.6341463414634146
strict_licensed,A3,hallucination,hallucination,56,0.34146341463414637
strict_licensed,A3,hallucination,omission,4,0.024390243902439025
strict_licensed,A3,omission,correct,2,0.3333333333333333
strict_licensed,A3,omission,hallucination,1,0.16666666666666666
strict_licensed,A3,omission,omission,3,0.5
strict_licensed,A3,correct,correct,0,0.0
strict_licensed,A3,correct,hallucination,0,0.0
strict_licensed,A3,correct,omission,0,0.0
strict_assert_only,A3,hallucination,correct,216,0.4302788844621514
strict_assert_only,A3,hallucination,hallucination,248,0.4940239043824701
strict_assert_only,A3,hallucination,omission,38,0.07569721115537849
strict_assert_only,A3,omission,correct,18,0.27692307692307694
strict_assert_only,A3,omission,hallucination,5,0.07692307692307693
strict_assert_only,A3,omission,omission,42,0.6461538461538462
strict_assert_only,A3,correct,correct,0,0.0
strict_assert_only,A3,correct,hallucination,0,0.0
strict_assert_only,A3,correct,omission,0,0.0
strict_licensed,A4,hallucination,correct,65,0.39634146341463417
strict_licensed,A4,hallucination,hallucination,98,0.5975609756097561
strict_licensed,A4,hallucination,omission,1,0.006097560975609756
strict_licensed,A4,omission,correct,2,0.3333333333333333
strict_licensed,A4,omission,hallucination,2,0.3333333333333333
strict_licensed,A4,omission,omission,2,0.3333333333333333
strict_licensed,A4,correct,correct,0,0.0
strict_licensed,A4,correct,hallucination,0,0.0
strict_licensed,A4,correct,omission,0,0.0
strict_assert_only,A4,hallucination,correct,2,0.00398406374501992
strict_assert_only,A4,hallucination,hallucination,499,0.9940239043824701
strict_assert_only,A4,hallucination,omission,1,0.00199203187250996
strict_assert_only,A4,omission,correct,0,0.0
strict_assert_only,A4,omission,hallucination,1,0.015384615384615385
strict_assert_only,A4,omission,omission,64,0.9846153846153847
strict_assert_only,A4,correct,correct,0,0.0
strict_assert_only,A4,correct,hallucination,0,0.0
strict_assert_only,A4,correct,omission,0,0.0
strict_licensed,A5,hallucination,correct,66,0.4024390243902439
strict_licensed,A5,hallucination,hallucination,97,0.5914634146341463
strict_licensed,A5,hallucination,omission,1,0.006097560975609756
strict_licensed,A5,omission,correct,2,0.3333333333333333
strict_licensed,A5,omission,hallucination,2,0.3333333333333333
strict_licensed,A5,omission,omission,2,0.3333333333333333
strict_licensed,A5,correct,correct,0,0.0
strict_licensed,A5,correct,hallucination,0,0.0
strict_licensed,A5,correct,omission,0,0.0
strict_assert_only,A5,hallucination,correct,93,0.1852589641434263
strict_assert_only,A5,hallucination,hallucination,407,0.8107569721115537
strict_assert_only,A5,hallucination,omission,2,0.00398406374501992
strict_assert_only,A5,omission,correct,15,0.23076923076923078
strict_assert_only,A5,omission,hallucination,11,0.16923076923076924
strict_assert_only,A5,omission,omission,39,0.6
strict_assert_only,A5,correct,correct,0,0.0
strict_assert_only,A5,correct,hallucination,0,0.0
strict_assert_only,A5,correct,omission,0,0.0
