pool,comparison,n,b,c,net_correct,delta_rate,p_value
strict_stable_wrong,UA1_vs_A6,867,86,79,7,0.008073817762399077,0.6405622342031339
strict_stable_wrong,UA2_vs_UA1,867,221,74,147,0.1695501730103806,3.6603331486035425e-18
strict_stable_wrong,UA3_vs_UA2,867,51,14,37,0.04267589388696655,4.475224849487538e-06
strict_stable_wrong,UA4_vs_A6,867,72,43,29,0.03344867358708189,0.008735108684333146
strict_stable_wrong,UA5_vs_A6,867,120,52,68,0.0784313725490196,2.2849587651185294e-07
strict_stable_wrong,UA5_vs_UA4,867,78,39,39,0.04498269896193772,0.0003961778187923077
visible_supported,UA1_vs_A6,737,73,65,8,0.010854816824966078,0.5514132796665477
visible_supported,UA2_vs_UA1,737,189,69,120,0.1628222523744912,4.39645359682676e-14
visible_supported,UA3_vs_UA2,737,48,11,37,0.050203527815468114,1.2416282261784595e-06
visible_supported,UA4_vs_A6,737,64,36,28,0.037991858887381276,0.006637120515926128
visible_supported,UA5_vs_A6,737,104,40,64,0.08683853459972862,9.454907617706622e-08
visible_supported,UA5_vs_UA4,737,65,29,36,0.048846675712347354,0.000261683232376927
serialization_loss,UA1_vs_A6,130,13,14,-1,-0.007692307692307693,1.0
serialization_loss,UA2_vs_UA1,130,32,5,27,0.2076923076923077,7.427530363202095e-06
serialization_loss,UA3_vs_UA2,130,3,3,0,0.0,1.0
serialization_loss,UA4_vs_A6,130,8,7,1,0.007692307692307693,1.0
serialization_loss,UA5_vs_A6,130,16,12,4,0.03076923076923077,0.5715881884098053
serialization_loss,UA5_vs_UA4,130,13,10,3,0.023076923076923078,0.6776394844055176
