pool,condition,n,correct,recovery_rate
strict_stable_wrong,A6,867,271,0.31257208765859285
strict_stable_wrong,UA1,867,278,0.3206459054209919
strict_stable_wrong,UA2,867,425,0.49019607843137253
strict_stable_wrong,UA3,867,462,0.532871972318339
strict_stable_wrong,UA4,867,300,0.3460207612456747
strict_stable_wrong,UA5,867,339,0.39100346020761245
visible_supported,A6,737,202,0.27408412483039346
visible_supported,UA1,737,210,0.28493894165535955
visible_supported,UA2,737,330,0.44776119402985076
visible_supported,UA3,737,367,0.49796472184531887
visible_supported,UA4,737,230,0.3120759837177748
visible_supported,UA5,737,266,0.36092265943012214
serialization_loss,A6,130,69,0.5307692307692308
serialization_loss,UA1,130,68,0.5230769230769231
serialization_loss,UA2,130,95,0.7307692307692307
serialization_loss,UA3,130,95,0.7307692307692307
serialization_loss,UA4,130,70,0.5384615384615384
serialization_loss,UA5,130,73,0.5615384615384615
